# Inputs
# - sttic: number of `static` items
# - root_: number of uninlined function items
# - inlnd: number of inlined function items
# - bb___: number of basic blocks
# - ssd__: number of `SourceScopeData`s
# - stmt_: number of statements
# - term_: number of `Terminator`s; equal to bb___ (one terminator per basic block)
# - a_msg: number of assert messages
# - rval_: number of MIR `Rvalue`s
# - place: number of MIR `Place`s
# - proj_: number of MIR projections
# - proje: number of MIR projection elems
# - const: number of MIR constants
# - ty_cn: number of MIR `TyConst`s
# - ty___: number of MIR `Ty`s
# - regn_: number of MIR regions
# - args_: number of `GenericArgsRef`s
# - lc_dc: number of `LocalDecls`
# - vdi__: number of `VarDebugInfo`s
# - local: number of MIR locations(?)
# - argc_: number of function arguments
#
# Note: there will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for release builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic root_ inlnd bb___ ssd__ stmt_ term_ a_msg rval_ place proj_ proje const ty_cn ty___ regn_ args_ lc_dc vdi__ local argc_ est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-bitmaps.104c4ae7833dc07b-cgu.0__________     0   115     8   736  1043  2269   736    23  1115  3867  3867   500   568     7  2680    92   630  1469   928  5126   173  3005    70.5    13.1    57.4     0.0
CGU-cargo.c8cec292e2f792bb-cgu.00___________     0  4107     0 32146 86540 203163 32146     0 76144 276049 276049 59516 24386     0 179486  6327 61449 97421 77920 407080  7538 235309  3821.6   921.8  2899.9     0.0
CGU-cargo.c8cec292e2f792bb-cgu.01___________     0  3134     3 22450 49079 113604 22450     0 41314 140729 140729 29987 26271   141 108652  3984 33034 51842 47892 216136  6531 136054  2489.7   501.7  1988.0     0.0
CGU-cargo.c8cec292e2f792bb-cgu.02___________     0   945     0 14150 25854 84882 14150   198 31546 106777 106777 10673 14858    38 60955  2241 15467 35473 27310 160531  2287 99032  1080.3   261.6   818.7     0.0
CGU-cargo.c8cec292e2f792bb-cgu.03___________     0  2907     0 17321 29165 71999 17321     0 27002 102630 102630 24838 17744    16 79291  2069 20900 37122 32065 150507  4110 89320  1864.8   477.2  1387.6     0.0
CGU-cargo.c8cec292e2f792bb-cgu.04___________     7  4167    36 30071 12317 44602 30071   107 30106 104298 104298 17484 19730    48 76173  4969  5818 41558 15800 123002  7698 74680  2265.4   407.7  1857.7     0.0
CGU-cargo.c8cec292e2f792bb-cgu.05___________     0  8326    75 33299 22584 41381 33299   105 25647 99974 99974 27111 14544    68 90180  4896  9128 50433 14554 124246 11398 74680  2589.5   497.1  2092.4     0.0
CGU-cargo.c8cec292e2f792bb-cgu.06___________     0  2974    63 22278 17622 52402 22278   285 25276 87709 87709 28394 13157     3 66289  2367 12554 32299 17684 117846  5243 74680  1792.6   423.8  1368.7     0.0
CGU-cargo.c8cec292e2f792bb-cgu.07___________     2  2232    95 25645 18203 49033 25645   242 31943 105229 105229 20915 18656   210 73962  4857 10614 39079 17606 124653  3680 74680  1799.7   357.3  1442.4     0.0
CGU-cargo.c8cec292e2f792bb-cgu.08___________     1  2541    76 26630 16526 48048 26630   161 30543 106158 106158 21097 19197    57 75552  6240  9452 40253 17468 126322  4893 74679  2066.3   440.6  1625.7     0.0
CGU-cargo.c8cec292e2f792bb-cgu.09___________     2  1920    11 15952 20847 58725 15952    36 23932 78062 78062 11739 11047     1 51582  1396 10138 28156 19530 114789  3657 74679  1287.6   317.6   970.1     0.0
CGU-cargo.c8cec292e2f792bb-cgu.10___________     4  3258    71 34317 12287 40358 34317   681 36351 119429 119429 23281 22471    81 84638  5186  7477 45487 14539 126933  6108 74679  2095.5   360.9  1734.6     0.0
CGU-cargo.c8cec292e2f792bb-cgu.11___________     0  2451   133 16556 24252 58123 16556    58 23955 83690 83690 22958 12056     7 61607  2688 16481 30736 22036 120385  3986 74679  1502.3   360.6  1141.7     0.0
CGU-cargo.c8cec292e2f792bb-cgu.12___________     0  2489     5 13735 35777 60944 13735    47 22870 85778 85778 12273  8073    26 54887  2220 22768 30672 28519 126349  4535 74679  1304.1   371.3   932.8     0.0
CGU-cargo.c8cec292e2f792bb-cgu.13___________     2  4116   224 32982 13005 41695 32982   234 32706 109122 109122 20039 20723   107 80230  4916  6406 43389 14202 122454  6667 74679  2001.6   348.5  1653.1     0.0
CGU-cargo.c8cec292e2f792bb-cgu.14___________    18  3959   117 31589 12448 43071 31589   454 34307 111846 111846 21139 19083   134 80018  4088  6468 44454 14128 124781  6648 74678  2127.7   419.8  1707.9     0.0
CGU-cargo.c8cec292e2f792bb-cgu.15___________     0  2623    40 15299 33593 59379 15299    49 23117 87753 87753 10970 10443     0 58367  1346 23242 33307 27911 126676  5018 74678  1182.9   302.0   880.9     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.00____________     0   391     3  4263  4344 15261  4263     6  5956 18597 18597  2434  2400     0 11615   343  1946  6586  3944 28290   799 19524   255.1    48.8   206.2     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.01____________     0   627     0  3548  6557 15668  3548     1  5898 22329 22329  5569  3623     4 16969   468  4751  7996  7159 32724   879 19216   358.5    80.3   278.3     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.02____________     0   128     0  1811  3267 10654  1811    23  3973 13482 13482  1490  1812     2  7796   270  1968  4493  3425 20234   312 12465   147.2    35.1   112.1     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.03____________     0   184     0  1921  5584 10155  1921     0  3743 13453 13453  1770  1262     0  8141   172  4120  4655  4376 20048   399 12076   137.1    29.5   107.6     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.04____________     0   525     8  2959  1693  4681  2959    15  3024 11357 11357  2265  1892     2  8734   738   913  4832  1910 13548   892  7640   225.8    40.2   185.6     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.05____________     0   476     5  2329  1289  5310  2329     7  2385  8705  8705  1702  1283     0  6304   520   759  3552  1783 12113   883  7639   174.2    40.1   134.1     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.06____________     4   332    10  2728  1632  4906  2728    51  3609 11635 11635  1785  2634     0  9181   392   900  4714  1576 13263   560  7638   189.0    30.8   158.2     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.07____________     0   487     2  2281  1064  5357  2281    20  2236  8470  8470  1616  1143     4  6133   405   690  3610  1763 12097   948  7638   180.5    37.3   143.2     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.08____________     0   262    17  2182  2031  5456  2182    62  2764  9731  9731  2000  1779     6  7250   393  1170  3820  2047 12697   515  7638   157.7    35.6   122.1     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.09____________     0   265    16  2704  2128  4934  2704    24  3555 12869 12869  2165  2145     0  9438   794  1148  5357  1801 14502   517  7638   197.1    29.9   167.2     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.10____________     0   830     7  3310  1674  4327  3310     1  2234  8018  8018  2471   975     0  7053   352   613  4080  1259 10990  1120  7637   227.7    46.5   181.2     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.11____________     0   238     1  2323  1466  5314  2323   298  3076 10078 10078  2533  1795     8  7126   264   862  3490  1676 12626   433  7637   145.3    34.6   110.7     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.12____________     0   271     6  2188  1915  5449  2188     6  2684  9454  9454  1651  1521     4  6559   369  1053  3615  1841 12497   442  7637   161.3    34.3   127.0     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.13____________     0   223     8  2544  1800  5093  2544    16  3263 10565 10565  2082  2640     8  8157   426   727  3965  1741 12634   363  7637   142.6    27.5   115.0     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.14____________     0   204     5  2221  2453  5415  2221    13  3171 10919 10919  1900  1562    13  6896   490  1481  3862  2335 13367   388  7636   170.0    35.7   134.3     0.0
CGU-clap.6bbd7f2fce362c0b-cgu.15____________     0   405    11  3196  1339  4439  3196    54  3131 11383 11383  2173  2363     6  8928   640   456  4992  1434 13108   886  7635   210.7    46.1   164.7     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.00     0   313     0  5659 10320 34403  5659   118 12782 43183 43183  3806  6161    26 23977   966  6240 14208 11072 64934   820 40062   377.6    80.0   297.6     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.01     0   523     3  3830  8587 20003  3830     0  7246 24712 24712  5214  4510    23 18920   674  5866  9053  8425 37987  1145 23833   413.5    83.0   330.5     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.02     0   337    31 12260 10336 10915 12260    21 10713 48096 48096  5756 12702     0 32934  2292  1399 16893  8692 48678  1007 23175   688.4    74.8   613.7     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.03     0   360     0  3207 10270 18610  3207     0  6848 24553 24553  3617  2056     0 14903   306  7486  8447  8161 36675   718 21817   243.6    66.3   177.3     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.04     0   741     2  3381  8044 18276  3381     0  7010 25944 25944  6539  2964     0 18741   389  6071  9135  8624 37952  1092 21657   408.2   100.7   307.5     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.05     0  1863    70  8856  3954  9958  8856   138  7227 26410 26410  6257  4555     1 22454  1691  1496 12765  3326 31129  2618 18814   633.1   120.3   512.8     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.06     1   542    79  5699  5253 13113  5699    66  7590 26974 26974  5462  4104     1 19234  1683  3238 10575  4957 33140  1033 18813   409.7    87.4   322.3     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.07     0   631     2  3717  6263 15096  3717     8  6372 23912 23912  4658  2586    11 15834   655  4187  8799  6228 33262  1286 18813   362.4    85.5   276.9     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.08     0  1277   352  9323  4678  9490  9323   222  8495 32933 32933  5701  6402     0 25341  1124  1000 13926  4569 35584  2010 18813   499.7    77.9   421.8     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.09     7   772    61  6758  3061 12047  6758   213  9501 29996 29996  6295  5619    37 22351  2269  1669 12081  3807 33385  1374 18812   415.5    80.9   334.7     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.10     0   554   109  7739  2717 11072  7739   199  9299 31947 31947  4620  6521    29 22851  1795  1541 12850  3331 34398  1061 18811   522.3    92.3   430.0     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.11     0  1089    47  5976  4174 12835  5976   185  7996 27518 27518  5199  4333     2 20060  1388  2115 11251  4863 33488  1738 18811   424.2    88.8   335.4     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.12    13   558    86  7385  3202 11413  7385   282  9262 34084 34084  4284  6645    16 24078  1558  1754 14107  3441 37050  1213 18811   554.7    97.5   457.2     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.13     5   652    93  7193  3844 11613  7193   230  9349 33198 33198  4881  6246    21 24164  2006  1486 13638  4043 36304  1339 18811   497.0    91.3   405.7     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.14     5   393   126  7679  2845 11127  7679   157  9388 31375 31375  4428  6143    48 22294  1984  1731 12670  3205 33635   905 18811   567.6   113.1   454.5     0.0
CGU-cranelift_codegen.e6fcfdbfe0ac20e4-cgu.15     0   611    11  4013  4953 14798  4013     6  6047 19217 19217  3735  2553     0 13436   417  2443  7286  4555 28582  1005 18811   305.2    74.2   231.0     0.0
CGU-diesel.a373d3c996f13e12-cgu.0___________     1   303     3   857   847  1619   857     1   929  3519  3519   985   544     0  3043   157   462  1586   899  4514   420  2477    78.2    16.8    61.4     0.0
CGU-exa.13d962035b4b1d1-cgu.00______________     0   235     1  1286  2643  6374  1286     0  2398  8856  8856  2430  1236    12  6700   166  1952  3109  2827 13060   327  7660    74.7    11.3    63.4     0.0
