# Inputs
# - sttic: number of `static` items
# - root_: number of uninlined function items
# - inlnd: number of inlined function items
# - bb___: number of basic blocks
# - ssd__: number of `SourceScopeData`s
# - stmt_: number of statements
# - term_: number of `Terminator`s; equal to bb___ (one terminator per basic block)
# - a_msg: number of assert messages
# - rval_: number of MIR `Rvalue`s
# - place: number of MIR `Place`s
# - proj_: number of MIR projections
# - proje: number of MIR projection elems
# - const: number of MIR constants
# - ty_cn: number of MIR `TyConst`s
# - ty___: number of MIR `Ty`s
# - regn_: number of MIR regions
# - args_: number of `GenericArgsRef`s
# - lc_dc: number of `LocalDecls`
# - vdi__: number of `VarDebugInfo`s
# - local: number of MIR locations(?)
# - argc_: number of function arguments
#
# Note: there will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for release builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic root_ inlnd bb___ ssd__ stmt_ term_ a_msg rval_ place proj_ proje const ty_cn ty___ regn_ args_ lc_dc vdi__ local argc_ est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-bitmaps.3e960b7a3ee38ef4-cgu.0__________     0    50    18   312   995  2074   312     1   805  2710  2710   279   401     0  1810    16   693   954   863  4001   111  2386    79.2     4.0    42.1    33.1
CGU-bitmaps.3e960b7a3ee38ef4-cgu.1__________     0    20    13   286   583  1658   286     1   596  1928  1928   287   244     7  1297    65   395   688   529  3022    38  1944   134.1     2.0    80.3    51.8
CGU-cargo.7b679a505073726c-cgu.00___________     0  3963  1504 38747 103575 239139 38747    16 89866 326403 326403 70120 28120     0 214264  7206 72391 116520 92645 481037  9715 277886  7784.9   266.7  3751.1  3767.2
CGU-cargo.7b679a505073726c-cgu.01___________     0   872   971 19985 41887 116407 19985   373 44386 152976 152976 17498 19628    38 88636  3004 24831 51060 41100 226236  4108 136392  7529.6    96.0  5039.6  2393.9
CGU-cargo.7b679a505073726c-cgu.02___________     0  1872  3089 30556 35035 95982 30556    57 38155 137751 137751 33901 22200    19 104370  4031 23277 52855 36035 200837  6621 126538  8203.9   249.1  4918.4  3036.3
CGU-cargo.7b679a505073726c-cgu.03___________     2  1067  2432 30381 34232 95842 30381   154 40208 138372 138372 43011 19371    53 99381  4091 23200 49845 34376 197581  6248 126225  9167.5   208.6  5278.5  3680.4
CGU-cargo.7b679a505073726c-cgu.04___________     1  1521  2261 30740 37212 94407 30740    36 39292 135994 135994 31715 16890   101 92335  2807 25036 48121 34593 194842  6091 125148  9421.0   214.0  5315.3  3891.7
CGU-cargo.7b679a505073726c-cgu.05___________     0  1562  2656 27261 40120 93397 27261     3 36791 134022 134022 44084 17362     0 101021  4438 27313 49500 36409 194750  6178 120658  9621.2   231.7  6802.4  2587.1
CGU-cargo.7b679a505073726c-cgu.06___________     2  1648   802 21255 48556 99162 21255    84 37607 132343 132343 23531 14123    42 85638  2475 34817 46801 40153 196381  4525 120419  4865.1   140.1  3162.1  1562.8
CGU-cargo.7b679a505073726c-cgu.07___________     2  1536  1863 21630 45125 98263 21630     8 35399 128074 128074 27574 16143   228 94059  3666 32212 48276 38415 194283  5216 119895  8333.3   179.7  6241.3  1912.4
CGU-cargo.7b679a505073726c-cgu.08___________     0   804  3905 28371 26992 91170 28371    70 37625 125917 125917 32519 15999     5 91669  3580 14568 49495 27937 184298  9093 119541  5618.0   209.8  2833.1  2575.2
CGU-cargo.7b679a505073726c-cgu.09___________     4   989  2126 25589 35412 93598 25589    35 37334 130095 130095 41758 16754    93 97015  3687 25676 45722 34994 189441  5069 119191  9767.6   191.3  5924.1  3652.2
CGU-cargo.7b679a505073726c-cgu.10___________     0  1834  2112 22791 41713 96269 22791     5 35154 121541 121541 27088 22439   146 98136  3658 27051 47448 37978 186578  6521 119060 10067.2   154.0  5930.9  3982.3
CGU-cargo.7b679a505073726c-cgu.11___________     0   855  3156 24828 36140 93719 24828    10 36119 125712 125712 34029 18512    25 94504  5146 24605 47408 35723 187219  7199 118547  8863.1   199.6  5991.5  2672.0
CGU-cargo.7b679a505073726c-cgu.12___________     0   681  2003 23571 34482 94975 23571    34 35182 123603 123603 30633 17528   250 90326  4208 24673 44914 33618 185921  4308 118546  8733.2   211.2  6143.4  2378.5
CGU-cargo.7b679a505073726c-cgu.13___________     4   833  1925 24346 33705 94196 24346    32 36245 124231 124231 31965 16721   243 91000  3815 24391 45043 32297 184738  4396 118546  8058.0   194.6  5414.0  2449.4
CGU-cargo.7b679a505073726c-cgu.14___________    19   817  2003 25630 33320 92897 25630    32 36253 124096 124096 32209 16677   924 87714  4187 24097 44202 31971 183531  4302 118546  8311.9   184.7  5819.0  2308.2
CGU-cargo.7b679a505073726c-cgu.15___________     2  1122  2277 32136 25650 86408 32136    11 36336 121478 121478 32568 17298   138 87845  3943 18732 45220 24999 174770  5432 118546 10867.0   205.5  6436.9  4224.6
CGU-clap.e9134be03690f1a2-cgu.00____________     0   352   654  6918  8401 23690  6918    25  9368 33279 33279  8465  4979     5 24260  1007  5706 12258  8839 48640  1479 30608  1560.6    44.7   869.6   646.3
CGU-clap.e9134be03690f1a2-cgu.01____________     0   131   342  3720  5037 14365  3720    20  5441 18987 18987  5163  2578     4 13690   703  3463  6872  4875 28379   749 18085  1034.5    22.4   734.7   277.4
CGU-clap.e9134be03690f1a2-cgu.02____________     0    70   490  3707  3661 12424  3707     9  5054 16826 16826  3840  2209     2 11966   469  1917  6490  3858 24755  1249 16131   575.8    22.3   253.3   300.3
CGU-clap.e9134be03690f1a2-cgu.03____________     0    45   290  3224  4213 11901  3224     2  4547 15996 15996  4418  2050     1 11175   646  2942  5722  4143 23685   588 15125  1028.0    20.3   681.9   325.8
CGU-clap.e9134be03690f1a2-cgu.04____________     0   208    21  2376  6808 12519  2376     1  4671 16685 16685  2158  1599     0 10109   201  5023  5771  5386 24741   507 14895   235.3    11.0    99.7   124.6
CGU-clap.e9134be03690f1a2-cgu.05____________     0    53   192  2888  4767 12003  2888    17  4772 16293 16293  3567  2253    11 10737   323  3155  5496  4685 23773   457 14891   651.7    30.0   392.0   229.7
CGU-clap.e9134be03690f1a2-cgu.06____________     0   106   104  2053  4308 11467  2053    25  4424 15290 15290  1881  1959     0  9193   276  2573  5186  4056 22476   478 13520   421.7    11.6   243.4   166.6
CGU-clap.e9134be03690f1a2-cgu.07____________     0    79   264  2427  3305  9058  2427    10  3630 12393 12393  3001  1565     7  8490   325  2152  4499  3089 18165   527 11485   471.0    17.7   244.6   208.7
CGU-clap.e9134be03690f1a2-cgu.08____________     0    83    80  2694  3299  8168  2694    72  3637 10486 10486  2454  3945    13  9688   137  1619  3685  3185 15247   248 10862   385.9    14.8   270.5   100.7
CGU-clap.e9134be03690f1a2-cgu.09____________     0   137   154  2154  3159  8705  2154     2  3420 11747 11747  2809  1577     6  8195   390  2061  4249  3071 17323   433 10859   564.8    29.0   367.6   168.2
CGU-clap.e9134be03690f1a2-cgu.10____________     0   101   142  1827  3247  9032  1827    20  3447 12118 12118  2668  1568     0  8091   321  2202  4219  3384 17944   471 10859   503.4    15.1   298.8   189.4
CGU-clap.e9134be03690f1a2-cgu.11____________     0   111   204  1911  3611  8948  1911     7  3352 11781 11781  2720  1773     4  8460   276  2359  4241  3545 17682   564 10859   587.0    27.2   364.3   195.6
CGU-clap.e9134be03690f1a2-cgu.12____________     4   107   306  2680  2684  8174  2680     3  3388 11193 11193  3010  1395     0  8023   425  1533  4283  2597 16389   665 10858   484.4    28.8   293.3   162.3
CGU-clap.e9134be03690f1a2-cgu.13____________     0    81   230  2331  2861  8527  2331     2  3345 11372 11372  2488  1784    42  8171   413  1940  4228  2978 16861   563 10858   524.8    20.2   334.0   170.6
CGU-clap.e9134be03690f1a2-cgu.14____________     0   128   198  2516  2888  8341  2516     4  3377 11761 11761  2447  2090    12  8868   329  1831  4507  2776 17045   544 10857   727.4    18.0   482.6   226.8
CGU-clap.e9134be03690f1a2-cgu.15____________     0    76   193  2057  2990  8798  2057     2  3479 11645 11645  2915  1481     1  8183   397  2131  4322  2902 17230   453 10855   759.5    17.8   496.5   245.2
CGU-cranelift_codegen.9fe120de22325724-cgu.00     0   341   362  8808 17953 53634  8808   249 20265 69041 69041  6715  9114    32 38723  1366 10639 22855 18299 102883  1617 62442  2740.9    39.6  1663.3  1038.1
CGU-cranelift_codegen.9fe120de22325724-cgu.01     0   328   176 15687 18600 45703 15687    13 18771 63995 63995 16282 11758     2 41887  1718 11461 20618 17065 91408  1262 61390  2960.3    61.0  1926.6   972.7
CGU-cranelift_codegen.9fe120de22325724-cgu.02     0   451   497 10460 16966 41403 10460    13 17312 57840 57840 14510  5399     0 36527   551 12173 19208 14882 82663  1431 51863  1571.2    51.6   865.1   654.4
CGU-cranelift_codegen.9fe120de22325724-cgu.03     0   685    17  6293 20209 36258  6293     1 13391 47997 47997  6955  4061     0 29193   603 14688 16521 15936 71552  1392 42551   665.5    30.9   296.5   338.1
CGU-cranelift_codegen.9fe120de22325724-cgu.04     0   640   602  7115 12139 30817  7115    10 11095 39032 39032  7369  7207    49 30514  1158  7894 15312 11762 59982  2356 37932  2694.9    47.1  1651.5   996.3
CGU-cranelift_codegen.9fe120de22325724-cgu.05     0   259   521  7161  9044 29495  7161    30 11741 38343 38343 15523  5551     1 28532  1433  6104 13479  9571 56724  1157 36656  2631.5    46.9  1875.7   708.9
CGU-cranelift_codegen.9fe120de22325724-cgu.06    16   196   272  7268  8152 29363  7268    44 10048 37397 37397  9475  6872     1 27548  1395  5213 14087  8192 57177   707 36647  2335.6    60.9  1771.4   503.4
CGU-cranelift_codegen.9fe120de22325724-cgu.07     0   274   638  6430 10177 30106  6430    62 11504 38248 38248  9136  6097     0 28889  1168  7018 14487 10119 57572  1454 36536  1692.4    50.7  1156.2   485.5
CGU-cranelift_codegen.9fe120de22325724-cgu.08    10   378   361  7126  8124 29296  7126    41 10752 36359 36359  6903  5991   137 25904  1402  5053 13581  8428 55658  1265 36432  2453.6    48.2  1724.4   681.0
CGU-cranelift_codegen.9fe120de22325724-cgu.09     0   515   430  6665 11241 29703  6665    44 11437 40080 40080 10514  4201     0 27708  1153  7411 14735 10522 59308  1545 36368  1492.2    50.4   882.5   559.3
CGU-cranelift_codegen.9fe120de22325724-cgu.10     2   239   379  6697  8234 29595  6697    33 11299 35608 35608  8802  6632    63 27558  1265  5538 13432  8255 54289   925 36294  2073.9    59.2  1461.9   552.8
CGU-cranelift_codegen.9fe120de22325724-cgu.11     1   373   904  7507 10370 28785  7507    11 11267 38676 38676  9067  6103   150 28504  1454  6609 14538 10896 57457  2536 36293  1672.4    52.7   935.4   684.3
CGU-cranelift_codegen.9fe120de22325724-cgu.12     0   668   582  6814 10779 29476  6814    27 11228 40332 40332  9190  4752     6 28464   912  7541 14919 10838 59923  1729 36290  1512.9    51.2   954.7   507.0
