# Inputs
# - sttic: number of `static` items
# - rfn__: number of uninlined function items
#   - rbb__: number of basic blocks in uninlined functions
#     - rssd_: number of `SourceScopeData`s in uninlined functions
#     - rstmt: number of statements in uninlined functions
#       - rplac: number of MIR `Place`s in uninlined functions
#       - rproj: number of MIR projections in uninlined functions
#       - rcnst: number of MIR constants in uninlined functions
#     - rdecl: number of `LocalDecls` in uninlined functions
# - ifn__: number of inlined function items
#   - ibb__: number of basic blocks in inlined functions
#     - issd_: number of `SourceScopeData`s in inlined functions
#     - istmt: number of statements in inlined functions
#       - iplac: number of MIR `Place`s in inlined functions
#       - iproj: number of MIR projections in inlined functions
#       - icnst: number of MIR constants in inlined functions
#     - idecl: number of `LocalDecls` in inlined functions
#
# The nesting shows how things fit together. E.g. a function contains basic
# blocks, which contains statements, which contains places.
# There will be high levels of correlation among many of these inputs.
# The more functions you have, the more of everything else (basic blocks,
# statements, etc.) you'll tend to have.
#
# Outputs
# - t_all__ = t_gen__ + t_opt__ + t_lto__; the main value to be estimated
# - t_gen__ = time to translate MIR to LLVM IR
# - t_opt__ = time for LLVM to process the LLVM IR
# - t_lto__ = time for LLVM to perform thin LTO, if necessary (only for opt builds)
#
# Other
# - cgu_name: CGU name; the first part indicates the benchmark name
# - est__: the current estimation function, approximately equal to sttic + bb___ + stmt_

cgu_name                                     sttic rfn__ ifn__ rbb__ ibb__ rssd_ issd_ rstmt istmt rplac iplac rproj iproj rcnst icnst rdecl idecl est__ t_all__ t_gen__ t_opt__ t_lto__
CGU-syn.a9a7f34383c974ac-cgu.00_____________     0   128   452  1312  2315  1548  4588  4992  7986  6486 11522  2513  3337   735  1072  2343  4388 48789   879.8    23.4   613.0   243.4
CGU-syn.a9a7f34383c974ac-cgu.01_____________     0    68   413   348  2333   920  3191  2225  6842  3023  9852   757  3473   236  1039  1067  3770 35687  1080.6    17.7   785.4   277.5
CGU-syn.a9a7f34383c974ac-cgu.02_____________     0    73   185  1430   812  1179  1021  4030  1266  5352  2309  1698  1110   621   128  1788  1064 26926   918.1    11.0   718.6   188.5
CGU-syn.a9a7f34383c974ac-cgu.03_____________     0    32   236  1321  1182  1730  1707  5396  3347  6643  5074   710  1567  1254   417  2202  2020 26629   937.3    14.2   671.6   251.4
CGU-syn.a9a7f34383c974ac-cgu.04_____________     0    62   280   982  1149   669  1377  2279  2276  3161  3825   938  1351   557   287  1096  1711 24073   748.9    12.3   570.3   166.3
CGU-syn.a9a7f34383c974ac-cgu.05_____________     0    33   217  1204  1011  1013  1394  3545  2193  4557  3493   865  1218   643   300  1496  1492 23837  1061.6    11.8   865.7   184.1
CGU-syn.a9a7f34383c974ac-cgu.06_____________     0   686    84  1983   303  1793   361  4782   540  7444  1034  1415   529  1004    72  3414   524 23778   633.5    14.3   472.3   147.0
CGU-syn.a9a7f34383c974ac-cgu.07_____________     0    82   217   672  1211   934  1310  2411  2832  3467  4224  1118  1501   294   383  1190  1798 23657   710.9    12.1   538.3   160.5
CGU-syn.a9a7f34383c974ac-cgu.08_____________     0    88   289   690  1387  1555  1889  2702  3528  3608  5341   410  1699   448   585  1303  2248 22975   618.5    21.0   464.6   132.9
CGU-syn.a9a7f34383c974ac-cgu.09_____________     0    91   192   989   842   795  1243  2494  1607  3649  2790  1410  1123   376   167  1215  1226 22949   800.0    10.5   608.4   181.1
